State	2010_Census	2015_Estimate
Alabama	4779736	4858979
Alaska	710231	738432
Arizona	6392017	6828065
Arkansas	2915918	2978204
California	37253956	39144818
Colorado	5029196	5456574
Connecticut	3574097	3590886
Delaware	897934	945934
District_of_Columbia	601723	672228
Florida	18801310	20271272
Georgia	9687653	10214860
Hawaii	1360301	1431603
Idaho	1567582	1654930
Illinois	12830632	12859995
Indiana	6483802	6619680
Iowa	3046355	3123899
Kansas	2853118	2911641
Kentucky	4339367	4425092
Louisiana	4533372	4670724
Maine	1328361	1329328
Maryland	5773552	6006401
Massachusetts	6547629	6794422
Michigan	9883640	9922576
Minnesota	5303925	5489594
Mississippi	2967297	2992333
Missouri	5988927	6083672
Montana	989415	1032949
Nebraska	1826341	1896190
Nevada	2700551	2890845
New_Hampshire	1316470	1330608
New_Jersey	8791894	8958013
New_Mexico	2059179	2085109
New_York	19378102	19795791
North_Carolina	9535483	10042802
North_Dakota	672591	756927
Ohio	11536504	11613423
Oklahoma	3751351	3911338
Oregon	3831074	4028977
Pennsylvania	12702379	12802503
Rhode_Island	1052567	1056298
South_Carolina	4625364	4896146
South_Dakota	814180	858469
Tennessee	6346105	6600299
Texas	25145561	27469114
Utah	2763885	2995919
Vermont	625741	626042
Virginia	8001024	8382993
Washington	6724540	7170351
West_Virginia	1852994	1844128
Wisconsin	5686986	5771337
Wyoming	563626	586107
